"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Research and Application of Data Modeling and Integration Based on Metadata","J. Zheng; X. Li","Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China; Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China","2015 7th International Conference on Information Technology in Medicine and Education (ITME)","","2015","","","525","528","As various institutions' information management systems rely on heterogeneous data, these systems normally cannot share data inducing many information islands. In order to integrate various information management systems, a metadata-based data modeling and integration solution is proposed. First, we established a technical metadata model based on Shandong University information system platform, and built the business metadata model from other individual subservice systems. Second, we constructed business model and abstracted data integration operation into platform-independent model. XML was adopted to describe the details and contents, Additionally, MDA was leveraged to reduce the operating difficulty and improve the reusability. The proposed framework was implemented with Java EE. Experiments show that the proposed framework can efficiently integrate heterogeneous data.","","978-1-4673-8302-8","10.1109/ITME.2015.160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429204","metadata;information management;data modeling;integration","Metadata;Business;Data integration;Synchronization;XML;Databases","data integration;information management;Java;meta data;XML","information management system;metadata-based data modeling;metadata-based data integration;technical metadata model;Shandong University information system platform;business metadata model;XML;MDA;Java EE","","","5","","","","","IEEE","IEEE Conferences"
"Machine Learning to Data Management: A Round Trip","B. Laure; B. Angela; M. Tova","LIS, Aix-Marseille Univ., Marseille, France; LIRIS, Univ. Claude Bernard Lyon 1, Lyon, France; Tel Aviv Univ., Tel Aviv, Israel","2018 IEEE 34th International Conference on Data Engineering (ICDE)","","2018","","","1735","1738","With the emergence of machine learning (ML) techniques in database research, ML has already proved a tremendous potential to dramatically impact the foundations, algorithms, and models of several data management tasks, such as error detection, data cleaning, data integration, and query inference. Part of the data preparation, standardization, and cleaning processes, such as data matching and deduplication for instance, could be automated by making a ML model ""learn"" and predict the matches routinely. Data integration can also benefit from ML as the data to be integrated can be sampled and used to design the data integration algorithms. After the initial manual work to setup the labels, ML models can start learning from the new incoming data that are being submitted for standardization, integration, and cleaning. The more data supplied to the model, the better the ML algorithm can perform and deliver accurate results. Therefore, ML is more scalable compared to traditional and time-consuming approaches. Nevertheless, many ML algorithms require an out-of-the-box tuning and their parameters and scope are often not adapted to the problem at hand. To make an example, in cleaning and integration processes, the window sizes of values used for the ML models cannot be arbitrarily chosen and require an adaptation of the learning parameters. This tutorial will survey the recent trend of applying machine learning solutions to improve data management tasks and establish new paradigms to sharpen data error detection, cleaning, and integration at the data instance level, as well as at schema, system, and user levels.","2375-026X","978-1-5386-5520-7","10.1109/ICDE.2018.00226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8509447","machine learning;data cleaning;error detection;data repairing;query inference;data management;clustering;classification","Databases;Task analysis;Cleaning;Data integration;Data models;Machine learning;Tutorials","data integration;data integrity;database management systems;inference mechanisms;learning (artificial intelligence);query processing","machine learning techniques;data management tasks;data cleaning;data preparation;data matching;deduplication;data integration algorithms;learning parameters;data error detection;data instance level;query inference","","","50","","","","","IEEE","IEEE Conferences"
"A Semantic Based Framework for the Purpose of Big Data Integration","D. Ostrowski; M. Kim","Ford Motor Co., Dearborn, MI, USA; Dept. of EECS, Univ. of California, Irvine, Irvine, CA, USA","2017 IEEE 11th International Conference on Semantic Computing (ICSC)","","2017","","","305","309","One of the most substantial opportunities in Big Data is to integrate disparate data sources across the enterprise. To realize this goal it can be valuable to leverage environments developed for high speed parallel processing as well as toolkits supporting the development and maintenance of semantic information. In support of this approach a proposed framework and methodology is presented to utilize an ontology-based data integration strategy. Our approach supports a rule-based translation to generate new ontology versions within a fast prototyping environment leveraging the Jena API within the context of the Apache Spark environment.","","978-1-5090-4284-5","10.1109/ICSC.2017.62","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889553","Big Data;Data Integration;Ontology","Ontologies;Data integration;Big Data;Vehicles;Semantics;Reactive power","Big Data;business data processing;data integration;ontologies (artificial intelligence);parallel processing","Big Data integration;enterprise data sources;parallel processing;toolkits;semantic information development;semantic information maintenance;ontology-based data integration strategy;rule-based translation;fast prototyping environment;Jena API;Apache Spark","","","22","","","","","IEEE","IEEE Conferences"
"Data integration in manufacturing industry: Model-based integration of data distributed from ERP to PLC","J. Hufnagel; B. Vogel-Heuser","Institute of Automation and Information Systems, Technische Universität München, Garching bei München, Germany; Institute of Automation and Information Systems, Technische Universität München, Garching bei München, Germany","2015 IEEE 13th International Conference on Industrial Informatics (INDIN)","","2015","","","275","281","For manufacturing industry seamless workflows along the whole product lifecycle are crucial for sustainable success. Although the integration of all used systems to a single supersystem is not reasonable, the integration of data is essential. This contribution introduces a model-based concept to integrate data elements of distributed data systems and sources to one virtual database. Specific view models represent the information about data, their relations, properties and environments. The combination of these pieces of information allows the configuration of a middleware platform to establish the interconnection of related data elements across distributed IT systems. This approach tries to feature the missing link between the successful enterprise application integration concept, sophisticated XML-based technologies and established graphical description languages. Instead of a fixed development environment this approach introduces how to adapt and utilize UML and BPMN for a modular and parallelizable integration process to archive a highly company-specific but user-oriented data integration environment.","2378-363X","978-1-4799-6649-3","10.1109/INDIN.2015.7281747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281747","model-based;interoperability;data integration;data backbone;enterprise application integration;UML;BPMN;XML serialization","Unified modeling language;Data models;Data integration;Adaptation models;XML;Distributed databases","data integration;database management systems;enterprise resource planning;manufacturing industries;middleware;parallel processing;Unified Modeling Language;visual languages;XML","model-based integration;ERP;PLC;manufacturing industry seamless workflow;product lifecycle;distributed data systems;virtual database;view models;middleware platform;data elements;distributed IT systems;enterprise application integration concept;XML-based technologies;graphical description languages;UML;BPMN;modular integration process;parallelizable integration process;company-specific data integration environment;user-oriented data integration environment","","5","37","","","","","IEEE","IEEE Conferences"
"An analysis of the problems for Health Data integration in Bangladesh","S. I. Khan; A. S. M. L. Hoque","Department of Computer Science and Engineering (CSE), Bangladesh University of Engineering and Technology (BUET), Dhaka, Bangladesh; Department of Computer Science and Engineering (CSE), Bangladesh University of Engineering and Technology (BUET), Dhaka, Bangladesh","2016 International Conference on Innovations in Science, Engineering and Technology (ICISET)","","2016","","","1","4","Discovering the hidden knowledge from different health data repositories requires the integration of health data from widely diversified sources. While integration, maintaining record linkage is a critical research issue for developing countries such as Bangladesh. Researchers have given different solutions to this problem that are applicable for developed countries where electronic health record of patients are maintained with identifiers like social security number (SSN), Universal Patient Identifier (UPI), etc. These algorithms cannot be used for integrating health data in Bangladesh because of many missing data, different ID used for the same patient in same or different systems and high amount of noise in other patient information. In this paper, we have defined the constraining factors of healthcare date available in Bangladesh and other developing countries. We have analyzed the practical problems of collecting and integrating healthcare data in Bangladesh to build up its National Health Data Warehouse (NHDW). We have also provided some important recommendations to boost the integration process and also to support record linkage.","","978-1-5090-6122-8","10.1109/ICISET.2016.7856517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7856517","Data Integration;Health Data Warehouse;Record Linkage;Bangladesh","Hospitals;Couplings;Data warehouses;Government;Medical diagnostic imaging","data integration;data warehouses;electronic health records;health care","Bangladesh;health data repositories;record linkage;electronic health record;missing data;patient information;healthcare date;National Health Data Warehouse;NHDW;healthcare data integration","","6","18","","","","","IEEE","IEEE Conferences"
"Research and application on the model of power parallel data integration","Y. Wei","Liaoning Jianzhu Vocational College, Liaoyang City, China","2018 IEEE 4th Information Technology and Mechatronics Engineering Conference (ITOEC)","","2018","","","1596","1600","This paper proposes a model of parallel data integration. Firstly, the paper design an standard interface system based on the Neo4j, which can carry on the interconnection of multi-source data; then there is the algorithm of parallel forward maximum matching to remove redundancy, which can filter redundant data within the system; finally it puts forward the method of data consistency processing for correlation degree, which can repair inconsistent data by determining the relation between data, according to the cosine of the angle between the feature vector value. By the experiment of data integration based on a electric power dispatching center, it can verify the validity of the data integration model.","","978-1-5386-5373-9","10.1109/ITOEC.2018.8740463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8740463","parallel data integration;spark;dispatching center;Neo4j","Sparks;Data integration;Feature extraction;Task analysis;Data models;Correlation;Scalability","data integration;power engineering computing;power generation dispatch","redundancy;redundant data;data consistency processing;electric power;data integration model;power parallel data integration;standard interface system;Neo4j;multisource data;parallel forward maximum matching;feature vector value;electric power dispatching center","","","9","","","","","IEEE","IEEE Conferences"
"Data integration for incidents analysis in manufacturing infrastructure","P. Tanuska; L. Spendla; M. Kebisek","Faculty of Materials Science and Technology, Slovak University of Technology, Trnava, Slovakia; Faculty of Materials Science and Technology, Slovak University of Technology, Trnava, Slovakia; Faculty of Materials Science and Technology, Slovak University of Technology, Trnava, Slovakia","2017 Computing Conference","","2017","","","340","345","In the proposed paper, we have described new approach for incidents analysis of manufacturing infrastructure. The proposal is focused on initial steps of data mining process, specifically on data pre-processing and transformation. We have proposed integration process of data from the HP OpenView and Elasticsearch platform. From the analysed data we have presented two use cases, suitable for further detailed data analysis and utilisation of knowledge discovery process. Presented results originated from real production data.","","978-1-5090-5443-5","10.1109/SAI.2017.8252124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8252124","big data;data integration;elasticsearch;hp openview;Hadoop;manufacturing data","Monitoring;Manufacturing;Companies;Production;Process control;Control systems;Databases","data analysis;data integration;data mining;manufacturing data processing","data integration;incidents analysis;manufacturing infrastructure;data mining process;data pre-processing;transformation;knowledge discovery process;production data;data analysis;Elasticsearch platform;HP OpenView","","","6","","","","","IEEE","IEEE Conferences"
"Big data integration architectural concepts for oil and gas industry","R. M. Alguliyev; R. M. Aliguliyev; M. S. Hajirahimova","Institute of Information Technology of ANAS, Baku, Azerbaijan; Institute of Information Technology of ANAS, Baku, Azerbaijan; Institute of Information Technology of ANAS, Baku, Azerbaijan","2016 IEEE 10th International Conference on Application of Information and Communication Technologies (AICT)","","2016","","","1","5","In recent years economic an social activity fields is based on data. Oil and gas industry leaders understand the value of big data and are interested in digital oil industry becoming a reality. Here is big data is analysed as a key component in based decision making in oil and gas industry during exploration, drilling and production. In oil and gas industry architectural model is offered for integration and convergence of big data, business analyticss and transaction data.","2472-8586","978-1-5090-1841-3","10.1109/ICAICT.2016.7991832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7991832","oil and gas industry;big data;business analyticss;business intelligence;predictive analyticss;data mining;decision-making","Oils;Big Data;Natural gas industry;Production;Data models;Companies;Data integration","Big Data;data integration;gas industry;petroleum industry","Big Data integration;oil and gas industry;social activity fields;digital oil industry;decision making;Big Data convergence;business analytics;transaction data","","1","24","","","","","IEEE","IEEE Conferences"
"Exclusive technique for stocking and probing data table integration using the Internet","T. Divya; M. Nithya","Department of Computer Science and Engineering Sri Sairam Engineering College, Chennai, Tamilnadu; Department of Computer Science and Engineering, Sri Sairam Engineering College, Chennai, Tamilnadu","International Conference on Information Communication and Embedded Systems (ICICES2014)","","2014","","","1","5","The highly successful architecture and protocols of today's Internet may operate poorly in environments characterized by very long delay paths. People are great sources of unique information, especially that which is location-specific, community-specific and time-specific. We extant the design of ONDINE system which allows the loading and the querying of a data warehouse opened on the Web, directed by an Ontological and Terminological Resource (OTR). The ONtology-based Data INtEgration (ONDINE), using the semantic Web framework and language recommendations, which implement the entire management system, to supplement existing local data sources with data tables which have been extracted from Web documents. ONDINE system trusts on an Ontological and Terminological Resource (OTR). In Chief, we present the main steps of our semiautomatic method to annotate data tables driven by an OTR. The output of this method is an XML/RDF data warehouse composed of XML documents representing data tables with their fuzzy RDF annotations. This system relies on SPARQL and allows approximate answers to be retrieved. to compare old and new data, if there is any modification occurs, then the new document updated as the RDF file.","","978-1-4799-3834-6","10.1109/ICICES.2014.7033787","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7033787","Mobile networking;ontology based data integration;Network measurement;Wireless networking;Human Factors","Ontologies;Resource description framework;XML;Semantics;Fuzzy sets;Data warehouses;Educational institutions","data integration;data warehouses;Internet;ontologies (artificial intelligence);semantic Web;SQL;XML","data table integration;Internet;ONDINE system;data warehouse loading;data warehouse querying;ontological and terminological resource;ontology-based data integration;semantic Web framework;Web documents;data table annotation;OTR;XML-RDF data warehouse;XML documents;fuzzy RDF annotations;SPARQL","","","9","","","","","IEEE","IEEE Conferences"
"Data integration, semantic data representation and decision support for situational awareness in protection of critical assets","A. Badii; M. Tiemann; D. Thiemert","University of Reading, Whiteknights, RG6 6AH, U.K.; University of Reading, Whiteknights, RG6 6AH, U.K.; University of Reading, Whiteknights, RG6 6AH, U.K.","2014 International Conference on Signal Processing and Multimedia Applications (SIGMAP)","","2014","","","341","345","This paper presents the design and development of a system for data integration, data representation, situational awareness and decision support that has been developed in the EC-co-funded research project MOSAIC. The paper motivates the architecture and describes the data representation model and the developed system components. It discusses the approach for improved situational awareness and decision support as a novel integration of systems developed under the MOSAIC project as deployed for the protection of critical assets as a demonstrator.","","978-9-8985-6596-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7514534","Data Representation;Semantic Web;Decision Support;Security","Data models;Ontologies;Production;Data integration;Semantic Web;Engines;Memory","data integration;data structures;security of data;semantic Web","data integration;semantic data representation;decision support;EC-co-funded research project;improved situational awareness;MOSAIC project;semantic Web;critical asset protection","","1","12","","","","","IEEE","IEEE Conferences"
"Application of ontology-based automatic ETL in marine data integration","Dong-mei Huang; Yan-ling Du; Ming-hua Zhang; Chi Zhang","College of Information Technology, Shanghai Ocean University, 201306, China; College of Information Technology, Shanghai Ocean University, 201306, China; College of Information Technology, Shanghai Ocean University, 201306, China; College of Information Technology, Shanghai Ocean University, 201306, China","2012 IEEE Symposium on Electrical & Electronics Engineering (EEESYM)","","2012","","","11","13","The problem of heterogeneous data, caused by the differences of marine data acquisition equipments, information processing platforms, data storage formats, makes the data integration, exchange and share difficult. Nowadays, the problem of data semantics in heterogeneous data integration is even more severe. Aim at solving this problem, we introduce an ontology-based automatic ETL (Extract, Transform and Load) method. This method can be achieved automatically as follows:Firstly, extracting the data structures and data semantics from source data sets, secondly, achieving the match from the source data sets to target database, thirdly consider the data structures and semantics aspects based on the target database, and finally, load the data from target database. Case study shows this method improve the quality of the data and the efficiency of data integration. This method solves the problems leaded by heterogeneous data, in particular, the semantic heterogeneity.","","978-1-4673-2365-9","10.1109/EEESym.2012.6258574","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6258574","Marine data;Ontology;ETL;Data integration","Geology;Databases;Mercury (metals)","data acquisition;data integration;data structures;marine engineering;ontologies (artificial intelligence);storage management","ontology-based automatic ETL method;extract-transform-and-load method;marine data integration;marine data acquisition equipments;information processing platforms;data storage formats;data exchange;data sharing;data structure extraction;data semantic extraction;data sets","","1","9","","","","","IEEE","IEEE Conferences"
"Data integration for phone users' mobility analysis","T. Niemi; M. Niinimaki","Helsinki Institute of Physics, Technology Programme, rte de Meyrin, 1211 Geneva, Switzerland; Helsinki Institute of Physics, Technology Programme, rte de Meyrin, 1211 Geneva, Switzerland","2013 International Computer Science and Engineering Conference (ICSEC)","","2013","","","120","125","The aim of this paper is to develop methods for integrating external data with a mobile phone user data sample collected in Switzerland. The external data contains weather and stock price information, and the integration is done using locations and time stamps. We then analyze the resulting data using a multidimensional approach and statistical tools. Though the data is limited in scale, it indicates that weather or economic up/downturns does not affect the phone users' mobility very much.","","978-1-4673-5324-3","10.1109/ICSEC.2013.6694764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6694764","Data integration;mobile data;business intelligence","Meteorology;Global Positioning System;Computer science;Data integration;Indexes;Mobile handsets","data analysis;data integration;mobile computing;mobile handsets;statistical analysis","data integration;phone user mobility analysis;mobile phone user data sample;Switzerland;weather information;stock price information;multidimensional approach;statistical tools;data analysis","","","15","","","","","IEEE","IEEE Conferences"
"Integration of HTML tables in web pages","M. Akbar; F. N. Azizah; G. A. P. Saptawati","Magister in Informatics Study Program, School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; Data and Software Engineering Research Group, School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; Data and Software Engineering Research Group, School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia","2015 International Conference on Data and Software Engineering (ICoDSE)","","2015","","","132","137","The growing number of Web pages on the Internet introduces a need to combine and integrate information from HTML tables of different Web pages that contain similar information into a single Web page, especially information from the same domain of interest. This paper presents an approach of HTML table integration by combining several existing methods that are proved to solve different issues in the integration processes. The integration of HTML table consists of three phases: (1) extraction of the structure of the tables; (2) integration of the tables' schema; (3) integration of the data values. To solve the conflicts in semantics and naming in the tables schema, domain-ontology is used. To improve quality of integration of data values in the tables, the vector space model is used to check the duplications of data values. As the integration result, a single HTML table is obtained. The approach is implemented on an engine built using Phyton. Results of the experiment shows that the engine can successfully integrate two HTML tables into single table.","","978-1-4673-8430-8","10.1109/ICODSE.2015.7436985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436985","data integration;HTML table;ontology;table integration;web page","HTML;Layout;Web pages;Semantics;Ontologies;Particle separators;Standards","data integration;hypermedia markup languages;ontologies (artificial intelligence);Web sites","Web pages;HTML table integration;data value integration;table schema integration;tables schema, naming;tables schema semantics;domain-ontology;vector space model;data value duplication checking;Phyton","","","6","","","","","IEEE","IEEE Conferences"
"Service-Oriented Business Intelligence (SoBI) for Academic and Financial Data Integration in University","R. Somya; D. Manongga; M. A. Ineke Pakereng","Faculty of Information Technology, Satya Wacana Christian University, Salatiga, Indonesia; Faculty of Information Technology, Satya Wacana Christian University, Salatiga, Indonesia; Faculty of Information Technology, Satya Wacana Christian University, Salatiga, Indonesia","2018 International Seminar on Application for Technology of Information and Communication","","2018","","","1","5","Previously, data integration in Business Intelligence (BI) is done by ETL process (Extract, Transform, and Loading). Service-oriented Business Intelligence (SoBI) offers data integration process in a simpler way when compared to the ETL process in BI. In this study, the SoBI will be implemented to integrate academic and financial data at Satya Wacana Christian University (SWCU) into Data Warehouse. The Data Warehouse was developed with Galaxy scheme and implemented with SQL Server 2012. The results of the study show that to apply SoBI, dashboard application must be made that serves to manage data integration process. Data integration on SoBi is done with the help of Web Service by building Service Provider at location of data source and Service Requestor on dashboard application. The Service Provider can be called by the dashboard application to perform the data retrieval process from the data source and transfer data into the Data Warehouse, so that the ETL process is done entirely by the Web Service. In addition, the dashboard application also serves to synchronize data from data sources through Web Service so that the data to be integrated is also more consistent.","","978-1-5386-7486-4","10.1109/ISEMANTIC.2018.8549762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8549762","SoBI;Business Intelligence;Data Warehouse;Data Integration","Data warehouses;Data integration;Web services;Business intelligence;Databases;Loading;Transforms","business data processing;competitive intelligence;data integration;data integrity;data warehouses;educational institutions;service-oriented architecture;SQL;Web services","SoBI;ETL process;Satya Wacana Christian University;dashboard application;SoBi;data source;data retrieval process;transfer data;financial data integration;data warehouse;Web service;service provider;service-oriented business intelligence;academic data integration process;galaxy scheme;service requestor","","","10","","","","","IEEE","IEEE Conferences"
"Multi-Source and Heterogeneous Data Integration Model for Big Data Analytics in Power DCS","W. Chen; R. Wang; R. Wu; L. Tang; J. Fan","Jincheng Power Supply Co., Jincheng, China; North China Electr. Power Univ., Beijing, China; North China Electr. Power Univ., Beijing, China; North China Electr. Power Univ., Beijing, China; Beijing Guodiantong Network Technol. Co. Ltd., Beijing, China","2016 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC)","","2016","","","238","242","It is the vital significance for the strong and smart grid that big data analytics technologies apply in the power system. The multi-source and heterogeneous data integration technology based on big data platform is one of the indispensable content. As there are the problems of data heterogeneity and data islands in the dispatching and control system, a multi-source and heterogeneous data integration model is proposed for big data analytics. This model exists the data integration layer in the platform of big data analytics. The model can improve the Extract-Transform-Load (ETL) process in the big data platform according to the extracting rules and transform rules, which are made by uniform data model in the panoramic dispatching and control system. Research shows that the integrating model developed here is efficient to establish panoramic data and can adapt to various data sources by building uniform data model in the power dispatching and control system. With the development of big data technology, it is expected that the data integration model will be improved and used in more electric power applications.","","978-1-5090-5154-0","10.1109/CyberC.2016.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7864239","power dispatching and control system;big data analysis;data integration model;uniform data model","Big data;Data models;Data mining;Data integration;Dispatching;Control systems;Power systems","Big Data;data analysis;load dispatching;power engineering computing;power system control","heterogeneous data integration model;multisource data integration model;big data analytics;power DCS;data heterogeneity;data islands;extract-transform-load process;ETL process;uniform data model;panoramic dispatching;more electric power applications","","1","12","","","","","IEEE","IEEE Conferences"
"Research on key issues of data integration technology in electric power system in big data environment","D. Liu; L. Ma; X. Liu; H. Yu; H. Tan; X. Zhao; Y. Zhao; G. Lv","State Grid Shandong Electric Power Research Institute, Jinan 250003, PR China; State Grid Shandong Electric Power Research Institute, Jinan 250003, PR China; State Grid Shandong Electric Power Research Institute, Jinan 250003, PR China; State Grid Shandong Electric Power Research Institute, Jinan 250003, PR China; State Grid Shandong Electric Power Research Institute, Jinan 250003, PR China; State Grid Shandong Electric Power Research Institute, Jinan 250003, PR China; Shandong Zhongshi Yitong Group Co., Ltd., Jinan 250003, PR China; Shandong Zhongshi Yitong Group Co., Ltd., Jinan 250003, PR China","2017 IEEE 9th International Conference on Communication Software and Networks (ICCSN)","","2017","","","1368","1372","In recent years, the State Grid has built amounts of business systems, e.g. OA, marketing and MIS systems. And it gradually developed into big data. However, with the construction of information increasingly deepening and a sharp increase of data volume, new challenges and inconvenience have been brought out for data seekers. In this paper, an architecture model of data integration in power field was proposed. The key factors in the model, e.g. data acquiring, extracting and integrating were investigated. A new method based on the highly frequent rate of date acquirement was put forward. A concept to build data extraction wrapper through bottom-up pattern and an automating repetitive record detection model for unsupervised learning were also proposed. The architecture model can help users to obtain required data by conducting data integration for information islands, storage of unstructured data in business systems, thus provide convenient service for the staffs in the State Grid. Experimental results show that the proposed approach accomplished duplicate record detection with high accuracy.","2472-8489","978-1-5090-3822-0","10.1109/ICCSN.2017.8230333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8230333","electric power system;data integration;wrapper;unstructured data;big data","Data mining;Data models;Databases;Data integration;Data acquisition;Web pages;Power systems","Big Data;data integration;power engineering computing;power grids;unsupervised learning","data extraction wrapper;automating repetitive record detection model;architecture model;State Grid;data integration technology;electric power system;big data environment;unsupervised learning;information islands","","","15","","","","","IEEE","IEEE Conferences"
"Cloud Computing Changes Data Integration Forever: What's Needed Right Now","D. S. Linthicum","Cloud Technology Partners","IEEE Cloud Computing","","2017","4","3","50","53","20 years after writing Enterprise Application Integration, data integration is still an afterthought when it comes to the cloud deployments I see. Enterprises moving to cloud tend to focus on the move itself, and not as much on what they need when they get there. While this may be a common practice, it's not a best practice. Data integration is needed because we just re-hosted some of our data on a remote cloud service. Thus, the inventory system that's still running on a mainframe in the data center needs to share data with the sales order system that's now on AWS. In other words, our data integration problem domain just got bigger and more complex.","2325-6095","","10.1109/MCC.2017.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962124","cloud computing;data integration;enterprises;Amazon Web Services","Cloud computing;Data integration;Security;Big Data;Engines","cloud computing;data integration","cloud computing;data integration;enterprise application integration;cloud deployments;remote cloud service;inventory system;AWS","","7","1","","","","","IEEE","IEEE Magazines"
"Enabling sustainable access to marine knowledge: Collection and integration of marine geochemical data","X. Wang; M. Liu; J. Xu; C. Hou","Tenglong Hong College of Information Science and Engineering, Ocean University of China, Qingdao, China; Tenglong Hong College of Information Science and Engineering, Ocean University of China, Qingdao, China; Tenglong Hong College of Information Science and Engineering, Ocean University of China, Qingdao, China; The first Institute of Oceanography, State Oceanic Administration, Qingdao, China","OCEANS 2016 - Shanghai","","2016","","","1","4","Accompanied with the evolution of sea floor exploration technologies, marine samples and corresponding geochemical data increased dramatically. These distributed data interconnected together within complex and evolving relationship. Heterogeneity of format, syntax and semantic becomes obstacle to knowledge integration, transmission and sharing. In order to collect and integrate these fragmented piece of knowledge, this paper proposes an automatic approach based on semantic extraction and semantic matching technique. The approach is applied to marine geochemical data originated from Cruises of Chinese international deep seabed resource survey. Experimental results show that our approach not only reduces the workload of data integration, but also immensely eliminates semantic heterogeneity.","","978-1-4673-9724-7","10.1109/OCEANSAP.2016.7485417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7485417","metadata;data integration;semantic extraction;semantic matching","Metadata;Semantics;Standards;Data integration;Oceans;Instruments;Thesauri","data integration;geophysics computing;oceanographic techniques;semantic networks","marine knowledge;marine geochemical data collection;marine geochemical data integration;sea floor exploration technology;semantic extraction;semantic matching technique;Chinese international deep seabed resource survey","","2","12","","","","","IEEE","IEEE Conferences"
"An Incremental Approach to Data Integration in Presence of Access Control Policies","M. Sellami; M. Hacid; M. M. Gammoudi","Lab.-ENSI, Higher Inst. of Technol. Studies of Jendouba/Riadi, Tunisia; Lab.-ENSI, Higher Inst. of Technol. Studies of Jendouba/Riadi, Tunisia; LIRIS, Univ. de Lyon, Lyon, France","2017 IEEE 2nd International Workshops on Foundations and Applications of Self* Systems (FAS*W)","","2017","","","187","190","In this paper, we describe an approach for data integration that takes into account access control policies. In a data integration system, a mediator is defined as unique entry point providing transparent access to distributed, autonomous and heterogeneous data sources. In such an architecture, security issue and access control in particular is considered as challenging tasks. Indeed, every source, designed independently from the others, uses its own access control policy to protect their data. The central challenge identified in this context is: How to synthesize a global policy at the mediator level that complies with the policies of the sources? Complying with the sources' policies means that an unauthorized access at the source level should also be unauthorized at the mediator level. Also, the policy of the mediator should ensure data protection against indirect accesses. An indirect access may take place when one could infer sensitive information from non-sensitive one by using semantic constraints. We propose a methodology that can help to synthesize a global policy with a global schema and to detect security breaches by reasoning about semantic constraints.","","978-1-5090-6558-5","10.1109/FAS-W.2017.146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8064122","Data integration;access control policies;formal concept analysis","Data integration;Authorization;Semantics;Algorithm design and analysis;Databases","authorisation;data integration","access control policy;data integration system;transparent access;distributed data sources;autonomous data sources;heterogeneous data sources;global policy;mediator level;source level;security issue;security breaches;reasoning;semantic constraints","","","12","","","","","IEEE","IEEE Conferences"
"Value name conflict while integrating data indatabase integration","G. A. Mirza","Department of Computer Science, Bahria University, Islamabad, Pakistan","2014 11th International Computer Conference on Wavelet Actiev Media Technology and Information Processing(ICCWAMTIP)","","2014","","","316","320","Integration of data is performed to provide user a unified view of heterogeneous data sources residing on different places. Major challenge in data integration process is; first identify and then resolve the data level conflicts. Ignoring identification and resolution of these conflicts produces inconsistent and erroneous data. In this paper we identify and resolve a new data level conflict. Data in different data sources may have similar semantics with different values. This difference in data may create inconsistent results when queried. Value of one concept may be present with different name in two different databases. These types of conflict need to be resolved for consistent and error free data. We named this conflict as Value Name Conflict. We provide the formal definition of this conflict using Z-Notation. Formal resolution function of this conflict is also presented.","","978-1-4799-7208-1","10.1109/ICCWAMTIP.2014.7073417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7073417","Database Integration;Data Integration;Data Merging;Data Level Conflicts;Data Fusion;Data Conflicts;Data Heterogeneities;Value Name Conflict","Databases;Data integration;Semantics;Conferences;Null value;Ontologies;Interoperability","data integration;distributed databases","value name conflict;data indatabase integration;heterogeneous data source;data integration process;data level conflicts;conflict identification;conflict resolution;Z-notation;formal resolution function","","1","27","","","","","IEEE","IEEE Conferences"
